SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-0C-55-EB,802.11n/ac,-61,82,82.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:47,82,82,802.11d/e/h/i/r,No,9,4.7%,FR,,1
,84-B2-61-08-E9-39,802.11g/n,-82,33,33.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:36:10,33,33,802.11d/e/i/r,No,1,54.9%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-64,80,80.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,26/02/2025 10:30:08,80,80,802.11d/e/i/r,No,12,2.7%,FR,,2
,A6-3D-4F-30-F1-61,802.11g/n,-85,26,26.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,,26,26,802.11d/h/i,No,,,FR,,
,84-B2-61-15-03-49,802.11g/n,-85,26,26.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:19,26,26,802.11d/e/i/r,No,4,70.6%,FR,,5
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-90,16,16.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,,16,16,802.11d/h/i,No,,,FR,,
,E4-AA-5D-3E-E7-54,802.11g/n,-87,22,22.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:43:00,22,22,802.11d/e/i/r,No,4,48.6%,FR,,3
,5C-5A-C7-0C-55-E4,802.11g/n,-60,82,82.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,9,43.9%,FR,,1
DIRECT-fYPCEMMAYTTY,46-FA-66-7D-D5-61,802.11n/ac,-86,24,24.0,"5,240",48,308,13,,Windows,PCEMMA,WPA2-PSK,CCMP,1733 Mbps,40 MHz,42 - 50,Infrastructure,Configured,14/03/2025 11:53:48,14/03/2025 11:53:48,1,14/03/2025 11:46:16,24,24,802.11i,No,,,,,
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-62,81,81.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:47,81,81,802.11d/e/h/i/r,No,9,4.7%,FR,,1
eduroam,84-B2-61-15-03-42,802.11g/n,-85,26,26.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:19,26,26,802.11d/e/i/r,No,4,70.6%,FR,,5
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-66,78,78.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,26/02/2025 10:30:08,78,78,802.11d/e/i/r,No,12,1.6%,FR,,2
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-90,16,16.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:43:00,16,16,802.11d/e/i/r,No,5,48.6%,FR,,3
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-60,82,82.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,9,43.9%,FR,,1
eduroam,84-B2-61-08-E9-32,802.11g/n,-76,50,50.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:36:10,50,50,802.11d/e/i/r,No,0,58.0%,FR,,2
OPPO A9 2020,9E-16-4B-28-28-A1,802.11g/n/ac,-85,26,26.0,"2,437",6,173,13,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,02/02/2025 20:18:25,26,26,802.11i/y,No,,,,,
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-60,82,82.0,"2,462",11,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:38,82,82,802.11d/e/h,No,9,43.9%,FR,,1
UTT,E4-AA-5D-3E-CE-E1,802.11g/n,-89,18,18.0,"2,412",1,167,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:55,18,18,802.11d/e,No,3,34.9%,FR,,4
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-62,81,81.0,"5,320",64,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:47,81,81,802.11d/e/h,No,9,4.7%,FR,,1
UTT,E4-AA-5D-3E-E7-50,802.11g/n,-89,18,18.0,"2,412",1,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:43:00,18,18,802.11d/e,No,5,48.6%,FR,,3
UTT,84-B2-61-15-03-41,802.11g/n,-85,26,26.0,"2,412",1,167,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:19,26,26,802.11d/e,No,4,70.6%,FR,,5
UTT,84-B2-61-08-E9-31,802.11g/n,-75,53,53.0,"2,437",6,164,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:36:10,53,53,802.11d/e,No,0,58.0%,FR,,2
UTT,84-B2-61-08-E9-3E,802.11n/ac,-67,75,75.0,"5,240",48,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,26/02/2025 10:30:08,75,75,802.11d/e,No,12,1.6%,FR,,2
UTTetudiants,5C-5A-C7-0C-55-ED,802.11n/ac,-58,85,85.0,"5,320",64,274,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:47,85,85,802.11d/e/h/i/r,Yes,9,4.7%,FR,,1
UTTetudiants,5C-5A-C7-0C-55-E2,802.11g/n,-60,82,82.0,"2,462",11,200,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,9,43.9%,FR,,1
UTTetudiants,E4-AA-5D-3E-E7-52,802.11g/n,-92,13,13.0,"2,412",1,210,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:43:00,13,13,802.11d/e/i/r,No,5,82.0%,FR,,3
UTTetudiants,84-B2-61-15-03-47,802.11g/n,-85,26,26.0,"2,412",1,204,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:19,26,26,802.11d/e/i/r,No,4,70.6%,FR,,5
UTTetudiants,E4-AA-5D-3E-CE-E7,802.11g/n,-90,16,16.0,"2,412",1,213,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:55,16,16,802.11d/e/i/r,No,3,34.9%,FR,,4
UTTetudiants,84-B2-61-08-E9-37,802.11n/ac,-77,46,63.5,"2,437",6,239,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,2,18/07/2023 09:36:10,46,81,802.11d/e/i/r,No,12,2.7%,FR,,2
UTTpersonnels,84-B2-61-08-E9-38,802.11n/ac,-75,53,66.5,"2,437",6,235,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,2,18/07/2023 09:36:10,53,80,802.11d/e/i/r,No,12,1.6%,FR,,2
UTTpersonnels,5C-5A-C7-0C-55-E3,802.11g/n,-60,82,82.0,"2,462",11,201,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,9,43.9%,FR,,1
UTTpersonnels,E4-AA-5D-3E-E7-53,802.11g/n,-87,22,22.0,"2,412",1,205,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:43:00,22,22,802.11d/e/i/r,No,4,48.6%,FR,,3
UTTpersonnels,5C-5A-C7-0C-55-EC,802.11n/ac,-62,81,81.0,"5,320",64,275,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:12:47,81,81,802.11d/e/h/i/r,No,9,4.7%,FR,,1
UTTpersonnels,84-B2-61-15-03-48,802.11g/n,-87,22,22.0,"2,412",1,205,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:19,22,22,802.11d/e/i/r,No,4,70.6%,FR,,5
UTTpersonnels,E4-AA-5D-3E-CE-E8,802.11g/n,-88,20,20.0,"2,412",1,211,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:53:48,14/03/2025 11:53:48,1,18/07/2023 09:32:55,20,20,802.11d/e/i/r,No,2,54.9%,FR,,4
