,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0
C204,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
C205,9,0,45,0,9,0,0,0,28,0,0,0,0,0,0
C206,0,0,1,0,82,0,0,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,0,0,0,15,90,0,0,0,0,0
C208,0,0,0,0,0,0,10,0,0,17,0,0,0,57,0
C210,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
Couloir_1,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0
Escalier_B,0,0,0,0,0,0,0,0,7,0,0,0,0,69,0
Escalier_D,1,0,0,0,0,0,0,0,0,9,0,0,0,0,64
