SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-08-E9-39,802.11g/n,-85,26,26.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:36:10,26,26,802.11d/e/i/r,No,0,47.8%,FR,,1
,84-B2-61-15-03-49,802.11g/n,-85,26,26.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:32:19,26,26,802.11d/e/i/r,No,2,31.8%,FR,,4
,E4-AA-5D-3E-E7-54,802.11g/n,-86,24,24.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:43:00,24,24,802.11d/e/i/r,No,1,43.9%,FR,,3
,84-B2-61-08-E9-36,802.11n/ac,-72,62,62.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,26/02/2025 10:30:08,62,62,802.11d/e/i/r,No,8,1.2%,FR,,1
,84-B2-61-15-36-3B,802.11n/ac,-85,26,26.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:37:21,26,26,802.11d/e/i/r,No,2,2.0%,FR,,
,5C-5A-C7-0C-55-E4,802.11g/n,-60,82,82.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,8,55.7%,FR,,2
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-62,81,81.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:12:38,81,81,802.11d/e/h/i/r,No,8,57.6%,FR,,2
eduroam,84-B2-61-15-03-42,802.11g/n,-80,38,38.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:32:19,38,38,802.11d/e/i/r,No,2,44.7%,FR,,4
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-60,82,82.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:12:47,82,82,802.11d/e/h/i/r,No,19,2.7%,FR,,2
eduroam,84-B2-61-08-E9-32,802.11g/n,-73,60,60.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 12:14:56,14/03/2025 12:14:56,1,18/07/2023 09:36:10,60,60,802.11d/e/i/r,No,0,51.8%,FR,,1
