SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-08-E9-39,802.11g/n,-72,62,62.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,18/07/2023 09:36:10,62,62,802.11d/e/i/r,No,1,54.5%,FR,,6
,E4-AA-5D-FD-23-A4,802.11g/n,-90,16,16.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,25/09/2024 08:56:50,16,16,802.11d/e/i/r,No,1,34.9%,FR,,1
,5C-5A-C7-27-30-A9,802.11g/n,-84,29,29.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,18/03/2024 19:11:39,29,29,802.11d/e/h/i/r,No,7,56.9%,FR,,4
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-83,31,31.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,,31,31,802.11d/h/i,No,,,FR,,
,E4-AA-5D-3E-E7-5B,802.11n/ac,-84,29,29.0,"5,200",40,258,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,12/03/2025 08:12:21,29,29,802.11d/e/i/r,No,101,47.5%,FR,,3
,A6-3D-4F-30-F1-61,802.11g/n,-89,18,18.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,,18,18,802.11d/h/i,No,,,FR,,
,84-B2-61-1F-B6-B9,802.11g/n,-88,20,20.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,18/03/2024 19:14:04,20,20,802.11d/e/i/r,No,4,46.3%,FR,,2
,E4-AA-5D-3E-E7-54,802.11g/n,-84,29,29.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,18/07/2023 09:43:00,29,29,802.11d/e/i/r,No,5,53.7%,FR,,3
,5C-5A-C7-0C-55-E4,802.11g/n,-62,81,81.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,18/07/2023 09:12:38,81,81,802.11d/e/h/i/r,No,9,32.9%,FR,,8
,84-B2-61-08-E9-36,802.11n/ac,-61,82,82.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:59:37,14/03/2025 10:59:37,1,26/02/2025 10:30:08,82,82,802.11d/e/i/r,No,24,3.9%,FR,,6
