,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
C205,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0
C206,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
C208,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
C210,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
Couloir_1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
