SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-36-3B,802.11n/ac,-80,38,38.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:37:21,38,38,802.11d/e/i/r,No,6,1.2%,FR,,1
,5C-5A-C7-28-72-0B,802.11n/ac,-82,33,33.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:21:05,33,33,802.11d/e/h/i/r,No,16,7.8%,FR,,3
,5C-5A-C7-28-72-04,802.11g/n,-77,46,46.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:25:25,46,46,802.11d/e/h/i/r,No,5,44.7%,FR,,3
,5C-5A-C7-28-87-04,802.11g/n,-88,20,20.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:11:42,20,20,802.11d/e/h/i/r,No,10,45.9%,FR,,3
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-83,31,31.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,433 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,,31,31,802.11d/h/i,No,,,FR,,
,84-B2-61-15-36-34,802.11g/n,-88,20,20.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:37:38,20,20,802.11d/e/i/r,No,0,51.4%,FR,,1
,5C-5A-C7-0C-55-E4,802.11g/n,-53,86,86.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:12:38,86,86,802.11d/e/h/i/r,No,5,27.8%,FR,,5
,5C-5A-C7-28-87-0B,802.11n/ac,-83,31,31.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:11:51,31,31,802.11d/e/h/i/r,No,13,3.9%,FR,,3
,84-B2-61-15-03-49,802.11g/n,-87,22,22.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:32:19,22,22,802.11d/e/i/r,No,0,15.3%,FR,,2
,84-B2-61-08-E9-39,802.11g/n,-65,80,80.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:36:10,80,80,802.11d/e/i/r,No,0,54.5%,FR,,6
,5C-5A-C7-0C-55-EB,802.11n/ac,-43,92,92.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 17:31:49,14/03/2025 17:31:49,1,18/07/2023 09:12:47,92,92,802.11d/e/h/i/r,No,1,2.0%,FR,,5
