SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-0C-55-E4,802.11g/n,-69,70,70.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,18/07/2023 09:12:38,70,70,802.11d/e/h/i/r,No,5,34.9%,FR,,3
,E4-AA-5D-3E-E7-5B,802.11n/ac,-81,35,35.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,12/03/2025 08:12:21,35,35,802.11d/e/i/r,No,4,27.1%,FR,,5
,5C-5A-C7-0C-55-EB,802.11n/ac,-71,65,65.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,18/07/2023 09:12:47,65,65,802.11d/e/h/i/r,No,16,2.7%,FR,,3
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-72,62,62.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,,62,62,802.11d/h/i,No,,,FR,,
,E4-AA-5D-3E-E7-54,802.11g/n,-85,26,26.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,18/07/2023 09:43:00,26,26,802.11d/e/i/r,No,0,46.7%,FR,,5
,84-B2-61-08-E9-39,802.11g/n,-63,81,81.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,18/07/2023 09:36:10,81,81,802.11d/e/i/r,No,0,60.4%,FR,,4
,70-DB-98-EE-25-34,802.11g/n,-87,22,22.0,"2,437",6,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,18/07/2023 10:51:45,22,22,802.11d/e/i/r,No,2,68.6%,FR,,
,00-27-E3-27-93-D4,802.11g/n,-89,18,18.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,18/07/2023 10:51:11,18,18,802.11d/e/i/r,No,2,49.8%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-55,85,85.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,26/02/2025 10:30:08,85,85,802.11d/e/i/r,No,14,4.7%,FR,,4
Agathe,92-37-A6-A5-6F-BE,802.11g/n,-92,13,13.0,"2,412",1,206,16,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:07:43,14/03/2025 16:07:43,1,,13,13,802.11d/h/i,No,,,FR,,
