,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C205,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C206,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C207,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C208,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C210,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_B,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_D,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
