SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-88,20,20.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,,20,20,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-39,802.11g/n,-65,80,80.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:36:10,80,80,802.11d/e/i/r,No,1,68.6%,FR,,3
,5C-5A-C7-0C-55-EB,802.11n/ac,-53,86,86.0,"5,200",40,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:47,86,86,802.11d/e/h/i/r,No,5,46.7%,FR,,2
,E4-AA-5D-3E-E7-54,802.11g/n,-70,67,67.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:43:00,67,67,802.11d/e/i/r,No,9,65.1%,FR,,1
,A6-3D-4F-30-F1-61,802.11g/n,-90,16,16.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,,16,16,802.11d/h/i,No,,,FR,,
,5C-5A-C7-0C-55-E4,802.11g/n,-64,80,80.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,7,32.9%,FR,,2
,84-B2-61-15-03-49,802.11g/n,-88,20,20.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:32:19,20,20,802.11d/e/i/r,No,5,39.2%,FR,,4
AndroidAPFD0C,46-D1-BE-F4-11-E9,802.11g/n,-92,13,13.0,"2,412",1,170,13,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,14/03/2025 10:02:35,13,13,802.11i,No,,,,,
dlinkCapsec,14-D6-4D-33-03-02,802.11g/n,-91,14,14.0,"2,437",6,316,18,D-Link International,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,130 Mbps,20 MHz,4 - 8,Infrastructure,Configured,14/03/2025 11:12:49,14/03/2025 11:12:49,1,19/12/2024 15:03:02,14,14,802.11i,No,,,,,
eduroam,E4-AA-5D-3E-E7-5E,802.11n/ac,-84,29,29.0,"5,200",40,233,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,12/03/2025 08:12:21,29,29,802.11d/e/i/r,No,95,22.4%,FR,,1
