SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-0C-55-EB,802.11n/ac,-57,84,84.0,"5,200",40,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,18/07/2023 09:12:47,84,84,802.11d/e/h/i/r,No,13,68.6%,FR,,1
,5C-5A-C7-0C-55-E4,802.11g/n,-58,83,83.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,18/07/2023 09:12:38,83,83,802.11d/e/h/i/r,No,8,53.7%,FR,,1
,84-B2-61-08-E9-36,802.11n/ac,-63,81,81.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,26/02/2025 10:30:08,81,81,802.11d/e/i/r,No,6,1.6%,FR,,3
,E4-AA-5D-FD-23-A4,802.11g/n,-89,18,18.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,25/09/2024 08:56:50,18,18,802.11d/e/i/r,No,2,33.3%,FR,,4
eduroam,5C-5A-C7-27-30-A2,802.11g/n,-88,20,20.0,"2,412",1,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,18/03/2024 19:11:39,20,20,802.11d/e/h/i/r,No,8,71.0%,FR,,2
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-64,80,80.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,26/02/2025 10:30:08,80,80,802.11d/e/i/r,No,8,1.6%,FR,,3
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-57,84,84.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,18/07/2023 09:12:38,84,84,802.11d/e/h/i/r,No,8,53.7%,FR,,1
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-54,86,86.0,"5,200",40,275,20,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,18/07/2023 09:12:47,86,86,802.11d/e/h/i/r,No,12,62.0%,FR,,1
eduroam,84-B2-61-08-E9-32,802.11g/n,-71,65,65.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,18/07/2023 09:36:10,65,65,802.11d/e/i/r,No,0,54.5%,FR,,3
Maggy,6E-71-51-B7-60-90,802.11g/n/ac,-89,18,18.0,"2,447",8,169,13,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,6 - 10,Infrastructure,No,14/03/2025 10:05:12,14/03/2025 10:05:12,1,14/03/2025 09:35:46,18,18,802.11i,No,,,,,
