SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-36-3B,802.11n/ac,-83,31,31.0,"5,200",40,243,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,18/07/2023 09:37:21,31,31,802.11d/e/i/r,No,7,0.8%,FR,,1
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-74,57,57.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,,57,57,802.11d/h/i,No,,,FR,,
,E4-AA-5D-3E-E7-54,802.11g/n,-79,40,40.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,18/07/2023 09:43:00,40,40,802.11d/e/i/r,No,0,48.6%,FR,,5
,5C-5A-C7-28-72-04,802.11g/n,-75,53,53.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,18/07/2023 09:25:25,53,53,802.11d/e/h/i/r,No,5,44.7%,FR,,2
,E4-AA-5D-3E-CE-E9,802.11g/n,-87,22,22.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,18/07/2023 09:32:55,22,22,802.11d/e/i/r,No,2,28.2%,FR,,3
,5C-5A-C7-28-72-0B,802.11n/ac,-81,35,35.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,18/07/2023 09:21:05,35,35,802.11d/e/h/i/r,No,18,6.7%,FR,,2
,5C-5A-C7-28-87-0B,802.11n/ac,-80,38,38.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,18/07/2023 09:11:51,38,38,802.11d/e/h/i/r,No,13,2.7%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-45,91,91.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,26/02/2025 10:30:08,91,91,802.11d/e/i/r,No,13,2.0%,FR,,6
,5C-5A-C7-28-87-04,802.11g/n,-79,40,40.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,18/07/2023 09:11:42,40,40,802.11d/e/h/i/r,No,10,71.8%,FR,,2
,E4-AA-5D-3E-E7-5B,802.11n/ac,-84,29,29.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:10:38,14/03/2025 17:10:38,1,12/03/2025 08:12:21,29,29,802.11d/e/i/r,No,19,3.1%,FR,,5
