SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-0C-55-EB,802.11n/ac,-59,83,83.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,18/07/2023 09:12:47,83,83,802.11d/e/h/i/r,No,13,3.9%,FR,,1
,84-B2-61-08-E9-39,802.11g/n,-77,46,46.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,18/07/2023 09:36:10,46,46,802.11d/e/i/r,No,0,62.0%,FR,,2
,84-B2-61-15-03-49,802.11g/n,-72,62,62.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,18/07/2023 09:32:19,62,62,802.11d/e/i/r,No,3,49.0%,FR,,5
,E4-AA-5D-3E-E7-54,802.11g/n,-77,46,46.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,18/07/2023 09:43:00,46,46,802.11d/e/i/r,No,2,73.7%,FR,,4
,E4-AA-5D-3E-CE-E9,802.11g/n,-89,18,18.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,18/07/2023 09:32:55,18,18,802.11d/e/i/r,No,3,43.9%,FR,,3
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-89,18,18.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,,18,18,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-36,802.11n/ac,-62,81,81.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,26/02/2025 10:30:08,81,81,802.11d/e/i/r,No,3,2.4%,FR,,2
,5C-5A-C7-0C-55-E4,802.11g/n,-59,83,83.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,18/07/2023 09:12:38,83,83,802.11d/e/h/i/r,No,8,43.9%,FR,,1
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-64,80,80.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,26/02/2025 10:30:08,80,80,802.11d/e/i/r,No,4,0.8%,FR,,2
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-90,16,16.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:01:15,14/03/2025 12:01:15,1,18/07/2023 09:43:00,16,16,802.11d/e/i/r,No,1,58.8%,FR,,4
