SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,00-27-E3-27-B4-49,802.11g/n,-89,18,18.0,"2,462",11,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:39:49,18,18,802.11d/e/i/r,No,1,31.8%,FR,,1
,B6-01-BF-A1-CC-D2,802.11g/n,-91,14,14.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,,14,14,802.11d/h/i,No,,,FR,,
,5C-5A-C7-0C-55-EB,802.11n/ac,-64,80,80.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:12:47,80,80,802.11d/e/h/i/r,No,12,3.9%,FR,,2
,84-B2-61-08-E9-39,802.11g/n,-75,53,53.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:36:10,53,53,802.11d/e/i/r,No,0,58.4%,FR,,3
,84-B2-61-15-36-34,802.11g/n,-85,26,26.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:37:38,26,26,802.11d/e/i/r,No,1,72.2%,FR,,4
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-66,78,78.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,,78,78,802.11d/h/i,No,,,FR,,
,5C-5A-C7-27-33-24,802.11g/n,-88,20,20.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:21:59,20,20,802.11d/e/h/i/r,No,3,22.0%,FR,,5
,84-B2-61-15-36-3B,802.11n/ac,-81,35,35.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:37:21,35,35,802.11d/e/i/r,No,26,3.9%,FR,,4
,5C-5A-C7-28-72-04,802.11g/n,-84,29,29.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:25:25,29,29,802.11d/e/h/i/r,No,4,48.6%,FR,,8
,5C-5A-C7-0C-55-E4,802.11g/n,-73,60,60.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:39:55,14/03/2025 11:39:55,1,18/07/2023 09:12:38,60,60,802.11d/e/h/i/r,No,7,32.9%,FR,,2
