SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-0C-55-E4,802.11g/n,-64,80,80.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,5,28.6%,FR,,5
,5C-5A-C7-36-31-49,802.11g/n,-87,22,22.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:15:14,22,22,802.11d/e/h/i/r,No,17,26.7%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-52,87,87.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,26/02/2025 10:30:08,87,87,802.11d/e/i/r,No,22,2.4%,FR,,7
,E4-AA-5D-3E-E7-5B,802.11n/ac,-81,35,35.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,12/03/2025 08:12:21,35,35,802.11d/e/i/r,No,18,3.1%,FR,,6
,E4-AA-5D-3E-CE-E9,802.11g/n,-77,46,46.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:32:55,46,46,802.11d/e/i/r,No,2,35.3%,FR,,4
,84-B2-61-15-36-3B,802.11n/ac,-81,35,35.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:37:21,35,35,802.11d/e/i/r,No,6,1.2%,FR,,1
,5C-5A-C7-28-87-04,802.11g/n,-81,35,35.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:11:43,35,35,802.11d/e/h/i/r,No,10,71.8%,FR,,3
,5C-5A-C7-28-72-04,802.11g/n,-70,67,67.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:25:25,67,67,802.11d/e/h/i/r,No,5,43.9%,FR,,3
,84-B2-61-08-E9-39,802.11g/n,-72,62,62.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:36:10,62,62,802.11d/e/i/r,No,0,48.2%,FR,,7
,84-B2-61-15-36-34,802.11g/n,-87,22,22.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:37:38,22,22,802.11d/e/i/r,No,1,77.6%,FR,,1
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-67,75,75.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,,75,75,802.11d/h/i,No,,,FR,,
,E4-AA-5D-3E-E7-54,802.11g/n,-81,35,35.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:43:00,35,35,802.11d/e/i/r,No,0,58.8%,FR,,6
,5C-5A-C7-28-87-0B,802.11n/ac,-76,50,50.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:11:51,50,50,802.11d/e/h/i/r,No,12,2.7%,FR,,3
,5C-5A-C7-28-72-0B,802.11n/ac,-82,33,33.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:21:05,33,33,802.11d/e/h/i/r,No,19,7.8%,FR,,3
,5C-5A-C7-0C-55-EB,802.11n/ac,-59,83,83.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:12:47,83,83,802.11d/e/h/i/r,No,20,2.7%,FR,,5
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-80,38,38.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:43:00,38,38,802.11d/e/i/r,No,0,51.4%,FR,,6
eduroam,84-B2-61-08-E9-32,802.11g/n,-61,82,82.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:36:10,82,82,802.11d/e/i/r,No,0,49.0%,FR,,7
eduroam,5C-5A-C7-28-72-0E,802.11n/ac,-86,24,24.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:21:05,24,24,802.11d/e/h/i/r,No,19,6.7%,FR,,3
eduroam,5C-5A-C7-28-87-01,802.11g/n,-80,38,38.0,"2,412",1,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:11:43,38,38,802.11d/e/h/i/r,No,10,71.0%,FR,,3
eduroam,84-B2-61-15-36-31,802.11g/n,-83,31,31.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:37:38,31,31,802.11d/e/i/r,No,0,80.0%,FR,,1
eduroam,5C-5A-C7-36-31-42,802.11g/n,-88,20,20.0,"2,437",6,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:15:14,20,20,802.11d/e/h/i/r,No,15,18.8%,FR,,2
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-70,67,67.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:12:38,67,67,802.11d/e/h/i/r,No,5,27.8%,FR,,5
eduroam,E4-AA-5D-3E-E7-5E,802.11n/ac,-79,40,40.0,"5,200",40,233,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,12/03/2025 08:12:21,40,40,802.11d/e/i/r,No,18,3.5%,FR,,6
eduroam,5C-5A-C7-28-87-0E,802.11n/ac,-84,29,29.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:50:47,14/03/2025 16:50:47,1,18/07/2023 09:11:51,29,29,802.11d/e/h/i/r,No,12,3.9%,FR,,3
