SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,00-27-E3-27-B4-49,802.11g/n,-89,18,18.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:39:49,18,18,802.11d/e/i/r,No,0,22.0%,FR,,1
,84-B2-61-08-E9-36,802.11n/ac,-73,60,60.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,26/02/2025 10:30:08,60,60,802.11d/e/i/r,No,24,5.5%,FR,,4
,5C-5A-C7-0C-55-EB,802.11n/ac,-61,82,82.0,"5,200",40,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:12:47,82,82,802.11d/e/h/i/r,No,9,38.8%,FR,,2
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-72,62,62.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,,62,62,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-39,802.11g/n,-80,38,38.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:36:10,38,38,802.11d/e/i/r,No,0,58.8%,FR,,4
,84-B2-61-15-36-34,802.11g/n,-89,18,18.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:37:38,18,18,802.11d/e/i/r,No,1,66.7%,FR,,6
,E4-AA-5D-FD-23-A4,802.11g/n,-88,20,20.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,25/09/2024 08:56:50,20,20,802.11d/e/i/r,No,1,27.1%,FR,,8
,5C-5A-C7-28-72-04,802.11g/n,-88,20,20.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:25:25,20,20,802.11d/e/h/i/r,No,4,42.7%,FR,,7
,5C-5A-C7-27-33-24,802.11g/n,-88,20,20.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:21:59,20,20,802.11d/e/h/i/r,No,3,26.7%,FR,,5
,5C-5A-C7-0C-55-E4,802.11g/n,-68,72,72.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:12:38,72,72,802.11d/e/h/i/r,No,7,35.7%,FR,,2
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-64,80,80.0,"5,200",40,275,20,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:12:47,80,80,802.11d/e/h/i/r,No,12,51.0%,FR,,2
eduroam,84-B2-61-15-36-31,802.11g/n,-85,26,26.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:37:38,26,26,802.11d/e/i/r,No,1,65.9%,FR,,6
eduroam,00-27-E3-27-B4-42,802.11g/n,-90,16,16.0,"2,462",11,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:39:49,16,16,802.11d/e/i/r,No,0,22.0%,FR,,1
eduroam,5C-5A-C7-27-33-21,802.11g/n,-87,22,22.0,"2,437",6,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:25:00,14/03/2025 11:25:00,1,18/07/2023 09:21:59,22,22,802.11d/e/h/i/r,No,3,26.7%,FR,,5
